no,code,name
1,60310,3S
2,95570,AJ네트웍스
3,6840,AK홀딩스
4,54620,APS홀딩스
5,265520,AP시스템
6,211270,AP위성
7,27410,BGF
8,282330,BGF리테일
9,138930,BNK금융지주
10,1460,BYC
11,1040,CJ
12,79160,CJ CGV
13,35760,CJ ENM
14,120,CJ대한통운
15,11150,CJ씨푸드
16,97950,CJ제일제당
17,51500,CJ프레시웨이
18,58820,CMG제약
19,23460,CNH
20,65770,CS
21,83660,CSA 코스믹
22,590,CS홀딩스
23,12030,DB
24,322780,DB금융스팩7호
25,16610,DB금융투자
26,5830,DB손해보험
27,990,DB하이텍
28,139130,DGB금융지주
29,68790,DMS
30,4840,DRB동일
31,241520,DSC인베스트먼트
32,155660,DSR
33,69730,DSR제강
34,17940,E1
35,245620,EDGC
36,37370,EG
37,79190,EMW
38,7700,F&F
39,130500,GH신소재
40,114090,GKL
41,900290,GRT
42,78930,GS
43,83450,GST
44,6360,GS건설
45,1250,GS글로벌
46,7070,GS리테일
47,28150,GS홈쇼핑
48,45890,GV
49,78150,HB테크놀러지
50,12630,HDC
51,39570,HDC아이콘트롤스
52,89470,HDC현대EP
53,294870,HDC현대산업개발
54,11200,HMM
55,36640,HRS
56,82740,HSD엔진
57,299170,IBKS제10호스팩
58,335890,IBKS제11호스팩
59,335870,IBKS제12호스팩
60,351340,IBKS제13호스팩
61,351320,IBKS제14호스팩
62,95340,ISC
63,99520,ITX엠투엠
64,175330,JB금융지주
65,950170,JTC
66,234080,JW생명과학
67,67290,JW신약
68,1060,JW중외제약
69,96760,JW홀딩스
70,35900,JYP Ent.
71,24840,KBI메탈
72,105560,KB금융
73,24120,KB오토시스
74,21320,KCC건설
75,36670,KCI
76,9440,KC그린홀딩스
77,112190,KC산업
78,119650,KC코트렐
79,44180,KD
80,92220,KEC
81,151860,KG ETS
82,16380,KG동부제철
83,46440,KG모빌리언스
84,35600,KG이니시스
85,1390,KG케미칼
86,60720,KH바텍
87,1940,KISCO홀딩스
88,122450,KMH
89,52900,KMH하이텍
90,58400,KNN
91,114450,KPX생명과학
92,25000,KPX케미칼
93,92230,KPX홀딩스
94,40,KR모터스
95,44450,KSS해운
96,30210,KTB투자증권
97,36030,KTH
98,58850,KTcs
99,58860,KTis
100,60370,KT서브마린
101,93050,LF
102,3550,LG
103,34220,LG디스플레이
104,1120,LG상사
105,51900,LG생활건강
106,32640,LG유플러스
107,11070,LG이노텍
108,66570,LG전자
109,108670,LG하우시스
110,37560,LG헬로비전
111,51910,LG화학
112,79550,LIG넥스원
113,6260,LS
114,680,LS네트웍스
